Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
LD1        150066M153000                                BottomLayer LED_0606_RGB_WURTH               175.000       1535.000      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 0606 (1616 Metric)"               
D21        ESDA25P35-1U1M                               TopLayer    ST_QFN_1610                      170.000       875.000       180      "41V Clamp 35A (8/20µs) Ipp Tvs Diode Surface Mount 1610"                                                                                            
X6         U.FL-R-SMT-1(10)                             TopLayer    CONN_U.FL_RCPT_STR_50_OHM_SMD    2580.020      2525.000      270      "U.FL (UMCC) Connector Receptacle, Male Pin 50Ohm Surface Mount Solder"                                                                              
X4         T-DET                                        TopLayer    CONN_S2B-ZR_JST                  325.000       2567.323      180      "Connector Header Through Hole, Right Angle 2 position 0.059" (1.50mm)"                                                                              
X3         NX3215SA-32.768KHZ-EXS00A-MU00525            TopLayer    XTAL_2SM_3R2X1R5                 2175.000      1600.000      360      "32.768kHz  Crystal 6pF 70 kOhms 2-SMD, No Lead"                                                                                                     
X2         DEBUG                                        BottomLayer TC2030-IDC-NL                    2000.000      2375.000      180      "Tag-Connect TC2030-MCP-NL (3x2 pins No Legs)"                                                                                                       
X1         SWD                                          BottomLayer TC2030-IDC-NL                    2000.000      1025.000      180      "Tag-Connect TC2030-MCP-NL (3x2 pins No Legs)"                                                                                                       
U33        TPS22810DRVT                                 TopLayer    WSON-6_065                       2000.000      2575.006      360      "TPS22810, 2.7-18-V, 79-mOhm On-Resistance Load Switch With Thermal Protection"                                                                      
U32        24LC00T-I/OT                                 TopLayer    SOT-23-5                         1115.000      2300.006      360      "EEPROM Memory IC 128b (16 x 8) I²C 400kHz 3500ns SOT-23-5"                                                                                          
U31        PCA9545ARGYR                                 TopLayer    RGY20_3P05X2P05                  1400.000      2500.000      270      "4-Channel I2C And SMBus Multiplexer With Interrupt Logic And Reset Functions"                                                                       
U30        PCAL9539AHF,128                              TopLayer    QFN-EP_24                        950.000       1250.000      360      "I/O Expander with interrupt and reset 16 I²C 400kHz 24-HWQFN (4x4)"                                                                                 
U29        PCAL9539AHF,128                              TopLayer    QFN-EP_24                        2325.000      1775.000      90       "I/O Expander with interrupt and reset 16 I²C 400kHz 24-HWQFN (4x4)"                                                                                 
